@relation EX1Z7279C60U_Exp22_RMS

@attribute RFLP_RMS_AatII numeric
@attribute RFLP_RMS_AbsI numeric
@attribute RFLP_RMS_AccI numeric
@attribute RFLP_RMS_AclI numeric
@attribute RFLP_RMS_AcyI numeric
@attribute RFLP_RMS_AflII numeric
@attribute RFLP_RMS_AflIII numeric
@attribute RFLP_RMS_AgeI numeric
@attribute RFLP_RMS_AgsI numeric
@attribute RFLP_RMS_AhaIII numeric
@attribute RFLP_RMS_AluI numeric
@attribute RFLP_RMS_AlwNI numeric
@attribute RFLP_RMS_AoxI numeric
@attribute RFLP_RMS_ApaBI numeric
@attribute RFLP_RMS_ApaI numeric
@attribute RFLP_RMS_ApaLI numeric
@attribute RFLP_RMS_ApoI numeric
@attribute RFLP_RMS_AscI numeric
@attribute RFLP_RMS_AsuI numeric
@attribute RFLP_RMS_AsuII numeric
@attribute RFLP_RMS_AvaI numeric
@attribute RFLP_RMS_AvaII numeric
@attribute RFLP_RMS_AvrII numeric
@attribute RFLP_RMS_BalI numeric
@attribute RFLP_RMS_BamHI numeric
@attribute RFLP_RMS_BclI numeric
@attribute RFLP_RMS_BetI numeric
@attribute RFLP_RMS_BglI numeric
@attribute RFLP_RMS_BglII numeric
@attribute RFLP_RMS_BisI numeric
@attribute RFLP_RMS_BsaAI numeric
@attribute RFLP_RMS_BsaBI numeric
@attribute RFLP_RMS_BsePI numeric
@attribute RFLP_RMS_BseSI numeric
@attribute RFLP_RMS_BsiYI numeric
@attribute RFLP_RMS_Bsp1407I numeric
@attribute RFLP_RMS_BspHI numeric
@attribute RFLP_RMS_BspLU11I numeric
@attribute RFLP_RMS_BspMII numeric
@attribute RFLP_RMS_BstEII numeric
@attribute RFLP_RMS_BstXI numeric
@attribute RFLP_RMS_Cac8I numeric
@attribute RFLP_RMS_CauII numeric
@attribute RFLP_RMS_Cfr10I numeric
@attribute RFLP_RMS_CfrI numeric
@attribute RFLP_RMS_ClaI numeric
@attribute RFLP_RMS_CviJI numeric
@attribute RFLP_RMS_CviRI numeric
@attribute RFLP_RMS_DdeI numeric
@attribute RFLP_RMS_DpnI numeric
@attribute RFLP_RMS_DraII numeric
@attribute RFLP_RMS_DraIII numeric
@attribute RFLP_RMS_DrdI numeric
@attribute RFLP_RMS_DsaI numeric
@attribute RFLP_RMS_Eam1105I numeric
@attribute RFLP_RMS_Eco47III numeric
@attribute RFLP_RMS_EcoNI numeric
@attribute RFLP_RMS_EcoRI numeric
@attribute RFLP_RMS_EcoRII numeric
@attribute RFLP_RMS_EcoRV numeric
@attribute RFLP_RMS_EspI numeric
@attribute RFLP_RMS_FaiI numeric
@attribute RFLP_RMS_Fnu4HI numeric
@attribute RFLP_RMS_FnuDII numeric
@attribute RFLP_RMS_FseI numeric
@attribute RFLP_RMS_FspAI numeric
@attribute RFLP_RMS_GlaI numeric
@attribute RFLP_RMS_HaeI numeric
@attribute RFLP_RMS_HaeII numeric
@attribute RFLP_RMS_HaeIII numeric
@attribute RFLP_RMS_HgiAI numeric
@attribute RFLP_RMS_HgiCI numeric
@attribute RFLP_RMS_HgiJII numeric
@attribute RFLP_RMS_HhaI numeric
@attribute RFLP_RMS_HindII numeric
@attribute RFLP_RMS_HindIII numeric
@attribute RFLP_RMS_HinfI numeric
@attribute RFLP_RMS_HpaI numeric
@attribute RFLP_RMS_HpaII numeric
@attribute RFLP_RMS_Hpy178III numeric
@attribute RFLP_RMS_Hpy188I numeric
@attribute RFLP_RMS_Hpy99I numeric
@attribute RFLP_RMS_KpnI numeric
@attribute RFLP_RMS_KroI numeric
@attribute RFLP_RMS_MaeI numeric
@attribute RFLP_RMS_MaeII numeric
@attribute RFLP_RMS_MaeIII numeric
@attribute RFLP_RMS_MauBI numeric
@attribute RFLP_RMS_MboI numeric
@attribute RFLP_RMS_McrI numeric
@attribute RFLP_RMS_MfeI numeric
@attribute RFLP_RMS_MluI numeric
@attribute RFLP_RMS_MseI numeric
@attribute RFLP_RMS_MslI numeric
@attribute RFLP_RMS_MstI numeric
@attribute RFLP_RMS_MwoI numeric
@attribute RFLP_RMS_NaeI numeric
@attribute RFLP_RMS_NarI numeric
@attribute RFLP_RMS_NcoI numeric
@attribute RFLP_RMS_NdeI numeric
@attribute RFLP_RMS_NheI numeric
@attribute RFLP_RMS_NlaIII numeric
@attribute RFLP_RMS_NlaIV numeric
@attribute RFLP_RMS_NotI numeric
@attribute RFLP_RMS_NruI numeric
@attribute RFLP_RMS_NspBII numeric
@attribute RFLP_RMS_NspI numeric
@attribute RFLP_RMS_OliI numeric
@attribute RFLP_RMS_PacI numeric
@attribute RFLP_RMS_PasI numeric
@attribute RFLP_RMS_PcsI numeric
@attribute RFLP_RMS_PflMI numeric
@attribute RFLP_RMS_PfoI numeric
@attribute RFLP_RMS_PmaCI numeric
@attribute RFLP_RMS_PmeI numeric
@attribute RFLP_RMS_PpuMI numeric
@attribute RFLP_RMS_PshAI numeric
@attribute RFLP_RMS_PsiI numeric
@attribute RFLP_RMS_PspXI numeric
@attribute RFLP_RMS_PstI numeric
@attribute RFLP_RMS_PvuI numeric
@attribute RFLP_RMS_PvuII numeric
@attribute RFLP_RMS_RsaI numeric
@attribute RFLP_RMS_RsrII numeric
@attribute RFLP_RMS_SacI numeric
@attribute RFLP_RMS_SacII numeric
@attribute RFLP_RMS_SalI numeric
@attribute RFLP_RMS_SanDI numeric
@attribute RFLP_RMS_SauI numeric
@attribute RFLP_RMS_ScaI numeric
@attribute RFLP_RMS_ScrFI numeric
@attribute RFLP_RMS_SduI numeric
@attribute RFLP_RMS_SecI numeric
@attribute RFLP_RMS_SetI numeric
@attribute RFLP_RMS_SexAI numeric
@attribute RFLP_RMS_SfeI numeric
@attribute RFLP_RMS_SfiI numeric
@attribute RFLP_RMS_SgeI numeric
@attribute RFLP_RMS_SgfI numeric
@attribute RFLP_RMS_SgrAI numeric
@attribute RFLP_RMS_SgrDI numeric
@attribute RFLP_RMS_SmaI numeric
@attribute RFLP_RMS_SmlI numeric
@attribute RFLP_RMS_SnaBI numeric
@attribute RFLP_RMS_SpeI numeric
@attribute RFLP_RMS_SphI numeric
@attribute RFLP_RMS_SplI numeric
@attribute RFLP_RMS_SrfI numeric
@attribute RFLP_RMS_Sse232I numeric
@attribute RFLP_RMS_Sse8387I numeric
@attribute RFLP_RMS_Sse8647I numeric
@attribute RFLP_RMS_SspI numeric
@attribute RFLP_RMS_StuI numeric
@attribute RFLP_RMS_StyI numeric
@attribute RFLP_RMS_SwaI numeric
@attribute RFLP_RMS_TaqI numeric
@attribute RFLP_RMS_TatI numeric
@attribute RFLP_RMS_TauI numeric
@attribute RFLP_RMS_TfiI numeric
@attribute RFLP_RMS_TseI numeric
@attribute RFLP_RMS_Tsp45I numeric
@attribute RFLP_RMS_Tsp4CI numeric
@attribute RFLP_RMS_TspEI numeric
@attribute RFLP_RMS_TspRI numeric
@attribute RFLP_RMS_Tth111I numeric
@attribute RFLP_RMS_VspI numeric
@attribute RFLP_RMS_XbaI numeric
@attribute RFLP_RMS_XcmI numeric
@attribute RFLP_RMS_XhoI numeric
@attribute RFLP_RMS_XhoII numeric
@attribute RFLP_RMS_XmaIII numeric
@attribute RFLP_RMS_XmnI numeric
@attribute Class {HIV1_M,HIV1_N,HIV1_O,HIV1_P}

@data
9182,9182,2573.916,9182,6355.573,6438.437,6339.000,9182,924.851,1676.660,250.553,2012.845,481.488,4678.577,9182,3910.657,894.981,9182,462.619,9182,3838.927,824.323,4611.468,2294.206,4609.809,3823.757,3942.896,9182,1806.212,585.020,4591.028,2831.154,9182,2302.757,514.239,1859.298,4649.463,6339.000,4682.220,5001.354,2239.798,850.219,5379.563,9182,2294.271,9182,97.192,342.908,331.082,437.055,2036.083,9182,9182,9182,9182,9182,5489.204,5078.010,409.268,3113.539,9182,94.182,585.020,9182,9182,9182,2046.692,957.069,6353.499,481.475,1171.229,1796.825,1688.111,2046.585,1964.371,1737.209,672.545,6236.515,3247.398,344.872,580.171,3717.523,2247.920,9182,331.786,4591.025,539.210,9182,437.074,9182,2077.892,9182,304.653,1383.939,9182,948.719,9182,6355.573,9182,2601.201,4541.093,728.693,544.631,9182,9182,1785.616,3874.706,3884.713,9182,5812.616,9182,2221.104,2540.784,9182,9182,2626.090,9182,5074.170,9182,3634.964,9182,2627.687,399.384,9182,3799.173,9182,9182,9182,3645.010,4989.920,401.716,852.035,635.290,122.252,3283.173,2705.920,9182,25.340,9182,9182,9182,9182,2413.067,9182,2788.671,9182,9182,9182,9182,9182,4014.508,1819.514,4386.768,1779.607,9182,3436.581,749.116,3733.102,998.479,622.472,955.624,477.445,181.781,426.306,2872.678,4863.137,1899.578,3303.612,5133.118,1013.134,9182,2432.026,HIV1_N
9045,9045,3905.182,9045,6258.723,6341.567,6297.564,5970.872,891.032,1545.749,257.949,2339.159,480.086,4624.831,4574.008,3870.798,838.094,9045,487.430,9045,9045,863.861,4550.111,1794.068,9045,4677.268,4157.699,9045,3125.827,674.017,3639.625,2447.170,9045,2031.769,575.633,1594.827,9045,9045,6312.196,9045,2192.392,798.622,5333.644,5970.872,1794.124,9045,96.263,391.091,321.236,362.496,1392.417,9045,4718.408,9045,9045,9045,9045,2768.525,427.714,3075.260,9045,96.036,674.017,9045,9045,9045,1506.086,720.750,2907.197,480.087,1530.071,3190.297,1751.408,1506.022,1965.135,2816.068,689.138,3564.949,2142.028,287.654,524.888,3673.607,3698.971,9045,370.400,2760.161,658.543,9045,362.502,9045,2504.169,9045,272.262,1301.827,9045,988.949,9045,6258.723,9045,2584.897,4462.784,635.512,729.277,9045,9045,1746.302,4758.353,4892.146,9045,5715.901,9045,2494.015,2210.022,9045,9045,2602.680,9045,2662.073,9045,3454.082,9045,2445.128,440.145,9045,3927.001,9045,9045,9045,4192.543,2913.539,418.087,825.281,575.900,130.273,3244.478,2107.366,9045,24.704,9045,9045,9045,9045,2909.160,9045,3690.929,9045,9045,9045,9045,9045,3987.818,2529.506,5831.505,1537.168,9045,4749.011,798.564,2884.402,1096.103,783.765,1427.941,446.292,176.289,415.244,2110.677,3834.216,1645.126,2486.425,9045,862.171,9045,3319.809,HIV1_N
8938,8938,2499.267,8938,6244.220,8938,8938,8938,779.638,1438.347,264.101,1959.598,474.639,4565.762,5947.906,3867.216,858.350,8938,485.083,8938,4548.930,883.512,4493.438,1793.213,8938,8938,5039.355,8938,2330.769,623.184,4469.280,4702.375,8938,1963.170,528.192,2613.596,3068.991,8938,6270.818,3851.353,2164.961,725.852,5274.767,8938,1793.278,8938,102.075,407.751,362.681,414.494,1862.822,8938,4658.171,8938,5467.007,8938,5365.345,2740.830,391.818,3033.814,8938,93.716,623.184,8938,8938,8938,1502.545,832.845,6242.125,474.633,1228.707,2689.206,1471.759,1502.434,1930.805,2292.058,597.014,3555.907,2493.688,302.484,669.185,3666.342,3022.112,8938,355.992,3518.733,584.348,8938,414.544,8938,1576.973,8938,300.333,1127.466,8938,971.871,8938,6244.220,8938,2909.487,5444.065,646.348,724.429,8938,8938,1563.538,4697.730,5734.875,8938,8938,8938,2136.768,2458.281,8938,8938,3126.096,5646.358,3548.577,8938,2462.698,8938,2125.895,356.006,8938,2664.498,8938,8938,8938,4329.442,3504.407,382.543,735.968,654.580,133.597,3220.294,1577.767,8938,23.596,8938,8938,8938,8938,3866.328,8938,2437.816,8938,8938,8938,8938,8938,4960.148,2103.030,5806.998,2823.594,8938,4761.453,688.927,3196.239,723.580,693.084,1079.322,433.303,170.019,346.168,8938,4736.756,2126.034,2044.924,8938,1019.750,8938,1579.616,HIV1_N
8926,8926,3422.119,8926,6235.735,8926,8926,5944.060,730.083,1467.791,301.120,1940.255,465.892,4560.918,8926,3861.343,902.206,8926,537.373,8926,3526.310,927.438,4487.995,1619.540,8926,6198.836,4155.557,8926,2782.969,636.917,4463.339,2781.391,8926,2271.855,720.450,1494.501,8926,8926,6249.020,5644.058,2160.906,746.475,5261.194,5944.060,1619.605,8926,115.842,343.558,378.738,566.457,2088.132,8926,8926,8926,6297.509,4602.607,5151.073,3561.605,442.305,3030.269,8926,98.455,636.917,8926,8926,8926,1740.312,743.038,3704.081,465.883,1829.328,2640.952,2420.660,1740.216,1447.890,6309.514,603.040,2298.731,3090.216,361.306,547.763,3661.950,6270.757,8926,341.394,4463.327,582.155,8926,566.473,8926,2574.331,8926,259.177,1182.997,8926,1001.227,8926,6235.735,8926,2866.708,2854.652,560.609,583.284,8926,8926,2371.814,3275.719,8926,8926,5685.939,8926,2497.539,2454.002,8926,8926,3121.853,8926,2654.655,8926,1963.770,8926,2923.697,351.142,8926,4778.664,8926,8926,8926,5334.459,3502.557,431.525,1082.709,637.995,147.143,1929.121,1475.046,8926,24.620,8926,8926,8926,8926,2764.763,8926,2427.647,8926,8926,8926,8926,4490.147,4954.308,2768.276,5803.021,1475.142,8926,3103.912,655.191,4796.862,753.096,659.184,1499.764,400.549,191.955,449.785,3011.850,2540.445,2021.318,2450.081,8926,1059.454,8926,2089.280,HIV1_N
8975,8975,2847.369,8975,6270.381,8975,5848.411,5979.298,896.140,1575.467,306.364,1811.162,429.934,4579.734,8975,3883.614,791.596,8975,573.555,8975,5053.806,1037.971,3184.209,2078.710,5513.626,8975,4189.898,8975,3662.049,670.392,4487.597,4488.740,8975,2031.371,728.169,1716.482,4924.268,8975,6296.980,8975,1987.740,856.762,4328.361,5979.298,1721.935,8975,115.980,323.163,358.295,556.230,2033.521,8975,4857.509,8975,8975,8975,3520.954,3411.418,494.902,3044.338,8975,101.897,670.392,8975,8975,8975,2204.974,807.123,4237.828,429.928,1528.431,2035.686,1938.981,2204.855,1800.230,3384.557,635.099,2613.765,2011.406,299.758,608.781,3677.617,2623.553,8975,382.025,3406.007,540.627,8975,556.289,8975,2310.389,8975,252.759,1296.385,8975,1056.013,8975,6270.381,8975,2569.479,5474.396,528.389,563.770,8975,8975,2051.998,2469.127,8975,8975,5720.971,8975,2518.058,2471.885,8975,8975,3144.243,8975,3551.038,8975,2859.616,8975,2437.488,358.900,8975,3485.403,8975,8975,8975,4067.478,3524.429,474.269,874.984,650.880,160.077,2734.392,1962.645,8975,26.180,8975,8975,8975,8975,2918.728,8975,2840.409,8975,8975,8975,8975,4511.786,4986.157,2496.918,5838.163,1485.754,8975,2452.375,756.323,4142.376,972.832,714.167,1227.823,420.835,190.521,396.489,3424.186,2590.730,2058.120,2468.462,8975,1054.012,8975,2395.845,HIV1_N
9183,9183,2574.013,9183,6355.588,6438.443,6339.707,9183,924.869,1676.773,250.557,2012.896,481.514,4679.164,9183,3910.680,895.121,9183,462.622,9183,3838.987,824.325,4612.013,2294.230,4610.262,3824.270,3942.910,9183,1806.295,585.042,4591.530,2831.568,9183,2302.766,514.255,1859.500,4649.878,6339.707,4682.794,5001.614,2240.030,850.223,5380.250,9183,2294.295,9183,97.195,342.931,331.095,437.067,2036.211,9183,9183,9183,9183,9183,5489.348,5078.248,409.271,3113.953,9183,94.216,585.042,9183,9183,9183,2046.706,957.094,6353.514,481.501,1171.234,1796.836,1688.116,2046.599,1964.403,1737.217,672.559,6236.545,3247.412,344.885,580.182,3717.545,2247.933,9183,331.790,4591.526,539.220,9183,437.086,9183,2078.040,9183,304.659,1384.198,9183,948.725,9183,6355.588,9183,2601.564,4541.097,728.731,544.637,9183,9183,1785.657,3875.225,3885.263,9183,5812.704,9183,2221.231,2541.075,9183,9183,2626.317,9183,5074.835,9183,3635.339,9183,2628.062,399.384,9183,3799.178,9183,9183,9183,3645.503,4990.576,401.720,852.039,635.294,122.257,3283.433,2706.298,9183,25.341,9183,9183,9183,9183,2413.072,9183,2788.804,9183,9183,9183,9183,9183,4015.067,1819.706,4386.832,1779.841,9183,3436.599,749.117,3733.118,998.498,622.526,955.741,477.517,181.803,426.310,2872.726,4863.444,1899.591,3304.022,5133.789,1013.146,9183,2432.261,HIV1_N
8637,8637,1880.199,8637,6031.397,5336.153,8637,8637,917.313,1440.032,304.859,2223.201,508.168,3401.434,5957.194,4155.776,941.195,8637,623.410,8637,4985.181,1011.688,4362.708,2276.759,3079.027,4498.700,6008.406,8637,3613.505,680.558,4323.198,3173.978,8637,2825.680,730.358,1641.562,4353.320,8637,8637,4678.039,1881.682,813.139,5257.418,5815.872,2065.767,8637,108.163,434.262,352.313,464.022,1715.927,4694.738,8637,8637,8637,4501.795,5161.254,3103.185,517.137,4834.170,8637,95.944,680.558,8637,8637,8637,1694.827,896.915,3112.489,508.188,1759.383,2117.946,1430.282,1694.751,1564.787,1864.271,572.718,3448.577,3512.675,400.486,494.095,4476.416,3024.444,5815.872,343.414,3106.881,584.644,8637,464.026,5815.202,2198.632,8637,244.911,1266.341,8637,948.040,5814.532,6031.397,8637,2822.510,5239.233,523.456,549.708,8637,8637,1897.198,4605.197,3823.120,8637,5483.654,8637,2379.516,3249.693,8637,8637,2569.778,4342.666,3484.743,8637,3404.569,8637,2960.798,342.390,8637,4592.137,8637,4474.841,8637,4615.329,4818.542,502.650,927.334,863.292,134.288,2550.208,1780.621,8637,25.744,8637,8637,8637,8637,2805.256,8637,2696.295,8637,8637,8637,8637,8637,3935.498,2814.644,3513.691,1852.005,8637,3593.720,708.132,3551.629,945.186,742.336,1010.606,457.730,166.268,317.635,3916.599,2882.977,2153.855,2078.380,8637,1207.128,5817.211,2082.636,HIV1_N
8615,8615,5336.685,8615,4772.022,8615,8615,8615,999.688,2017.059,252.148,1599.186,510.777,3391.767,8615,3792.354,1014.925,8615,486.266,8615,5684.624,824.506,5300.320,2256.306,8615,2397.689,2897.225,5990.767,2634.234,608.839,3098.333,4316.048,8615,1970.534,733.412,1508.857,4343.171,8615,3415.692,8615,2056.131,721.101,3924.923,8615,2256.325,8615,110.821,336.736,287.188,375.182,1980.043,5150.957,4351.536,8615,8615,8615,8615,3402.969,485.973,4810.911,8615,102.784,608.839,8615,8615,8615,1557.201,972.337,6014.446,510.793,1784.373,1797.154,2312.022,1557.181,2076.804,1473.737,522.600,3439.875,2103.936,437.611,752.866,3565.983,3538.481,8615,395.046,3098.050,534.014,8615,375.178,8615,2225.228,8615,277.230,1270.292,8615,886.157,8615,6016.540,8615,3332.411,5223.373,629.601,631.616,8615,8615,2187.038,4594.884,2627.203,8615,8615,8615,2373.804,2077.009,8615,8615,2551.575,8615,4889.462,8615,3395.789,8615,3267.414,398.983,8615,4583.843,8615,8615,8615,3165.820,3427.863,456.693,973.103,998.183,131.457,3356.883,1999.626,8615,26.497,8615,8615,8615,8615,2884.185,8615,2689.762,8615,8615,8615,8615,8615,3906.360,2755.997,5584.077,1987.103,8615,3476.684,694.977,3543.185,706.879,663.768,1277.788,351.346,174.118,414.360,2078.210,3638.770,2032.263,2071.924,8615,968.755,8615,2333.593,HIV1_N
8545,8545,2327.127,8545,5966.349,8545,8545,8545,885.562,1511.749,271.013,1675.245,483.379,2856.045,8545,3789.952,959.482,8545,544.932,8545,3883.754,1005.722,5323.350,1784.009,8545,8545,5943.362,8545,2866.014,493.345,4279.433,3148.993,8545,1959.610,817.746,1652.592,4302.536,8545,8545,4619.475,2086.428,874.006,3843.084,4311.890,1784.009,8545,106.441,350.913,301.731,428.917,1671.894,4722.329,8545,8545,8545,8545,8545,2571.465,430.323,2934.679,4823.859,87.618,493.345,8545,8545,8545,1365.689,837.645,3497.215,483.413,1622.150,2116.287,1780.528,1365.609,2087.449,1620.671,539.432,3416.910,2207.478,351.373,515.508,3547.951,3022.714,8545,323.967,3274.217,641.354,8545,429.010,8545,2215.945,8545,279.224,1517.080,8545,728.557,8545,5966.349,8545,2796.416,8545,544.742,741.913,8545,8545,2298.610,4572.694,3806.229,8545,2480.829,8545,2343.487,2319.764,8545,8545,2172.060,8545,2489.557,5939.887,2576.283,8545,2834.635,325.958,8545,4534.659,8545,8545,5427.091,2445.909,2806.252,408.764,851.160,687.594,134.893,2696.464,1583.517,8545,25.327,8545,8545,8545,8545,2902.319,8545,2658.525,8545,8545,8545,8545,8545,3917.987,2962.798,5536.080,1509.181,8545,4092.515,615.680,1676.406,887.313,663.219,971.429,385.918,161.826,318.920,2082.940,2433.450,1921.339,2311.959,4815.386,1095.684,8545,1887.713,HIV1_N
9183,9183,2574.013,9183,6355.588,6438.443,6339.707,9183,924.869,1676.773,250.557,2012.896,481.514,4679.164,9183,3910.680,895.121,9183,462.622,9183,3838.987,824.325,4612.013,2294.230,4610.262,3824.270,3942.910,9183,1806.295,585.042,4591.530,2831.568,9183,2302.766,514.255,1859.500,4649.878,6339.707,4682.794,5001.614,2240.030,850.223,5380.250,9183,2294.295,9183,97.195,342.931,331.095,437.067,2036.211,9183,9183,9183,9183,9183,5489.348,5078.248,409.271,3113.953,9183,94.216,585.042,9183,9183,9183,2046.706,957.094,6353.514,481.501,1171.234,1796.836,1688.116,2046.599,1964.403,1737.217,672.559,6236.545,3247.412,344.885,580.182,3717.545,2247.933,9183,331.790,4591.526,539.220,9183,437.086,9183,2078.040,9183,304.659,1384.198,9183,948.725,9183,6355.588,9183,2601.564,4541.097,728.731,544.637,9183,9183,1785.657,3875.225,3885.263,9183,5812.704,9183,2221.231,2541.075,9183,9183,2626.317,9183,5074.835,9183,3635.339,9183,2628.062,399.384,9183,3799.178,9183,9183,9183,3645.503,4990.576,401.720,852.039,635.294,122.257,3283.433,2706.298,9183,25.341,9183,9183,9183,9183,2413.072,9183,2788.804,9183,9183,9183,9183,9183,4015.067,1819.706,4386.832,1779.841,9183,3436.599,749.117,3733.118,998.498,622.526,955.741,477.517,181.803,426.310,2872.726,4863.444,1899.591,3304.022,5133.789,1013.146,9183,2432.261,HIV1_N
